date,time,lat,long
03/06/2016,03:00:00,40.868432862,-73.88513421
04/02/2016,14:00:00,40.798963998000005,-73.95031372
08/31/2016,05:00:00,40.719222944,-73.733739201
09/20/2016,13:00:00,40.789959275,-73.94585684100001
09/19/2016,16:00:00,40.876345648000004,-73.851328816
02/18/2016,14:00:00,40.694133956,-73.976943815
12/06/2016,17:30:00,40.712291715,-73.936260062
12/24/2016,20:10:00,40.793979332,-73.938446293
09/13/2016,07:50:00,40.680750639,-73.872405879
01/10/2016,01:00:00,40.706731389,-73.89875086
08/31/2016,07:15:00,40.829640499,-73.915211145
11/16/2016,14:45:00,40.713111523,-73.767212964
03/26/2016,00:00:00,40.747144959,-73.89240976800001
02/21/2016,02:30:00,40.745541281,-73.88051735399999
08/14/2016,04:00:00,40.709157573,-73.908352483
05/16/2016,15:30:00,40.790325046999996,-73.941710718
11/27/2016,13:40:00,40.579472308,-73.942866715
09/05/2016,00:01:00,40.84032964,-73.89964259899999
02/27/2016,20:00:00,40.744187527,-73.77821966100001
03/28/2016,09:15:00,40.679980738000005,-73.77623390699999
09/09/2016,21:30:00,40.675672013,-74.006256358
08/05/2016,21:30:00,40.854038558,-73.884045707
11/28/2016,03:00:00,40.889138208,-73.862016543
08/30/2016,01:15:00,40.683732911,-73.814887586
05/09/2016,11:00:00,40.749118855,-73.990141355
05/02/2016,23:30:00,40.706978808,-74.007121329
12/28/2016,02:00:00,40.707253793,-73.75512158800001
11/15/2016,22:00:00,40.691319735,-73.990441984
05/03/2016,22:06:00,40.688448907,-73.963824172
10/12/2016,11:21:00,40.854612389,-73.884232679
05/28/2016,04:50:00,40.648171571,-74.01236557
07/27/2016,13:00:00,40.682041238000004,-73.771619172
08/25/2016,20:15:00,40.783852245,-73.979989319
12/02/2016,03:20:00,40.71163617,-73.962181187
12/08/2016,08:10:00,40.83447008,-73.872288161
10/31/2016,20:05:00,40.639305956,-73.948339154
12/19/2016,15:50:00,40.70899206,-73.959524374
09/06/2016,00:01:00,40.670056816999995,-73.92117453600001
04/06/2016,17:45:00,40.693685878000004,-73.800352532
02/13/2016,21:30:00,40.594934055,-73.786770354
10/13/2016,12:15:00,40.72438234,-73.98324334600001
01/16/2016,13:00:00,40.804715449,-73.936128216
02/04/2016,14:10:00,40.717444734000004,-73.99587819199999
12/12/2016,04:45:00,40.662325758,-73.889086329
02/14/2016,06:30:00,40.795780139,-73.965401925
01/06/2016,19:00:00,40.828236144,-73.916499306
08/09/2016,20:00:00,40.662325758,-73.889086329
12/05/2016,21:30:00,40.679980738000005,-73.77623390699999
11/22/2016,04:40:00,40.654041058000004,-73.939343048
12/08/2016,05:30:00,40.645885824000004,-73.998758226
11/02/2016,23:00:00,40.653686233,-73.97365297
08/09/2016,20:46:00,40.685240262,-73.794158048
01/31/2016,20:45:00,40.740843418000004,-73.923901941
07/08/2016,23:00:00,40.822061845,-73.867976287
07/11/2016,04:00:00,40.674910748,-73.870838018
12/17/2016,02:45:00,40.809983169,-73.850678708
12/17/2016,16:44:00,40.684281552,-73.873430327
02/03/2016,22:30:00,40.69718916,-73.92154997
12/17/2016,22:00:00,40.667944736,-73.876045913
08/10/2016,20:00:00,40.853192197,-73.918098235
06/17/2016,01:59:00,40.846362726,-73.939258048
04/03/2016,04:24:00,40.889854823,-73.831221977
07/04/2016,23:10:00,40.797348115,-73.93054433100001
07/03/2016,01:20:00,40.824222897,-73.908638434
07/22/2016,23:20:00,40.670937865,-73.862702275
08/06/2016,20:00:00,40.700957791,-73.731947578
07/12/2016,15:20:00,40.673759241,-73.887776712
08/24/2016,03:55:00,40.595869121,-73.781895432
04/15/2016,12:30:00,40.66593879,-73.864316618
03/12/2016,22:50:00,40.698119264,-73.759064439
01/31/2016,17:45:00,40.544808985,-74.220117632
12/26/2016,10:00:00,40.799086317,-73.947619211
02/05/2016,21:00:00,40.831129157,-73.890373232
11/12/2016,07:00:00,40.683147442,-73.84194164
